"","GeneinGenome","GenenotinGO","GennomeinGO","GenomenotinGO","Fisher","FDR"
"GO:0006366",162,1055,1986,16636,0.00492906025307704,0.0774152404453865
"GO:0007601",25,1192,206,18416,0.00538736616727791,0.0777527981980109
"GO:0019219",305,912,4018,14604,0.00515691288613123,0.0777527981980109
"GO:0050789",746,471,10652,7970,0.00537246941629999,0.0777527981980109
"GO:0006351",281,936,3683,14939,0.00614793423546367,0.0863946547825684
"GO:0006397",47,1170,466,18156,0.00654815385593511,0.0896593374120346
"GO:0044464",1085,132,16101,2521,0.007000574988789,0.0934576761003331
"GO:0004871",85,1132,1721,16901,0.00740956248818824,0.0965050333827444
"GO:0004872",81,1136,1643,16979,0.00856187868701808,0.108858171877801
"GO:0003682",47,1170,474,18148,0.00919571816085816,0.112355205524139
"GO:0005634",496,721,6887,11735,0.00925773229037851,0.112355205524139
"GO:0006886",88,1129,1011,17611,0.00960143762725905,0.113937059843474
"GO:0007126",3,1214,169,18453,0.0100502535651568,0.116670334865081
"GO:0043234",299,918,3985,14637,0.0106454630741996,0.120950580460055
"GO:0008104",186,1031,2379,16243,0.0134670866564996,0.149821339053558
"GO:0015031",144,1073,1795,16827,0.0145620850404455,0.158697008399957
"GO:0006403",23,1194,202,18420,0.0164081033413544,0.174326229663106
"GO:0030529",66,1151,743,17879,0.0166491342936675,0.174326229663106
"GO:0034341",19,1198,159,18463,0.0174287510589544,0.178979866643878
"GO:0004386",18,1199,150,18472,0.0218331176481056,0.209264351797227
"GO:0005829",250,967,3327,15295,0.0208821332149077,0.209264351797227
"GO:0006367",20,1197,173,18449,0.0221266888313668,0.209264351797227
"GO:0006457",24,1193,222,18400,0.0225181232518941,0.209264351797227
"GO:0008324",25,1192,602,18020,0.0220093752339483,0.209264351797227
"GO:0042175",85,1132,1004,17618,0.0227290868993243,0.209264351797227
"GO:0004721",20,1197,175,18447,0.0231722962886129,0.209728918951174
"GO:0003678",8,1209,50,18572,0.0245246766121109,0.21822587088256
"GO:0008380",38,1179,393,18229,0.0249284234528767,0.21822587088256
"GO:0007389",41,1176,433,18189,0.0254988852803431,0.219619431285535
"GO:0050896",568,649,8081,10541,0.0272359343259127,0.230856967143451
"GO:0006259",81,1136,962,17660,0.0284404766122748,0.233649454014688
"GO:0006357",141,1076,1794,16828,0.028200430482177,0.233649454014688
"GO:0003824",409,808,5700,12922,0.0293137636218512,0.237169766467507
"GO:0005635",40,1177,420,18202,0.0297572553433014,0.237169766467507
"GO:0008233",29,1188,654,17968,0.0347062946658652,0.268596541327131
"GO:0015931",22,1195,203,18419,0.0342442270500505,0.268596541327131
"GO:0005085",30,1187,306,18316,0.0382313680140114,0.285589866688688
"GO:0005544",7,1210,45,18577,0.0385064988793737,0.285589866688688
"GO:0008015",20,1197,484,18138,0.0383408091237777,0.285589866688688
"GO:0006281",46,1171,511,18111,0.0390445700312082,0.285613704063906
"GO:0004620",12,1205,96,18526,0.0414641774154223,0.299214469457237
"GO:0008105",4,1213,18,18604,0.042538464647363,0.302873868289224
"GO:0003008",106,1111,1962,16660,0.0469579216793672,0.329941186536606
"GO:0003896",2,1215,4,18618,0.0478040089914038,0.331523906511813
"GO:0003684",0,1217,60,18562,0.0517083038243435,0.354003003105121
"GO:0032989",94,1123,1179,17443,0.0609605089301763,0.412062174287521
"GO:0016021",318,899,5329,13293,0.0663123837419851,0.442635161477751
"GO:0005102",112,1105,1439,17183,0.0687368740601023,0.4531542067666
"GO:0005165",3,1214,13,18609,0.0708873213301067,0.461632068174109
"GO:0004842",37,1180,414,18208,0.0730479286228222,0.469971010657675
