"","GeneinGenome","GenenotinGO","GennomeinGO","GenomenotinGO","Fisher","FDR"
"GO:0030425",5,211,328,17702,0.601934605527463,1
"GO:0030529",3,213,116,17914,0.1672783555325,1
"GO:0030546",0,216,4,18026,1,1
"GO:0030547",0,216,1,18029,1,1
"GO:0030879",1,215,21,18009,0.230601537109394,1
"GO:0031012",6,210,276,17754,0.152858897702354,1
"GO:0031124",0,216,48,17982,1,1
"GO:0031201",0,216,51,17979,1,1
"GO:0031386",1,215,8,18022,0.101656898568152,1
"GO:0031497",0,216,7,18023,1,1
"GO:0031594",0,216,54,17976,1,1
"GO:0032393",0,216,5,18025,1,1
"GO:0032394",0,216,2,18028,1,1
"GO:0032395",0,216,10,18020,1,1
"GO:0032502",1,215,17,18013,0.193022631241731,1
"GO:0032543",0,216,32,17998,1,1
"GO:0032791",0,216,1,18029,1,1
"GO:0032991",0,216,3,18027,1,1
"GO:0032993",0,216,24,18006,1,1
"GO:0034341",1,215,23,18007,0.24873253905892,1
"GO:0035556",7,209,351,17679,0.206163501754576,1
"GO:0040007",0,216,27,18003,1,1
"GO:0040011",0,216,8,18022,1,1
"GO:0040029",0,216,13,18017,1,1
"GO:0042116",2,214,10,18020,0.00851482602063799,1
"GO:0042175",0,216,2,18028,1,1
"GO:0042558",0,216,1,18029,1,1
"GO:0042592",0,216,11,18019,1,1
"GO:0042626",0,216,33,17997,1,1
"GO:0042734",0,216,59,17971,1,1
"GO:0042742",3,213,133,17897,0.2182278049624,1
"GO:0042995",0,216,68,17962,1,1
"GO:0043005",4,212,229,17801,0.35936807171616,1
"GO:0043025",6,210,301,17729,0.18290267698153,1
"GO:0043066",6,210,435,17595,0.653613654711354,1
"GO:0043234",3,213,363,17667,0.804378610125705,1
"GO:0045111",1,215,51,17979,0.462126565797566,1
"GO:0045177",0,216,70,17960,1,1
"GO:0045178",0,216,13,18017,1,1
"GO:0045182",0,216,6,18024,1,1
"GO:0045202",0,216,165,17865,0.271512717939261,1
"GO:0045211",1,215,205,17825,0.524557752514908,1
"GO:0045298",0,216,3,18027,1,1
"GO:0046933",0,216,15,18015,1,1
"GO:0048511",1,215,52,17978,0.468512223805026,1
"GO:0048512",0,216,6,18024,1,1
"GO:0048731",0,216,2,18028,1,1
"GO:0050790",0,216,55,17975,1,1
"GO:0050828",0,216,1,18029,1,1
"GO:0050877",0,216,8,18022,1,1
"GO:0050896",2,214,61,17969,0.171167575841779,1
"GO:0050909",0,216,16,18014,1,1
"GO:0051090",0,216,25,18005,1,1
"GO:0051098",0,216,4,18026,1,1
"GO:0051169",0,216,4,18026,1,1
"GO:0051180",1,215,5,18025,0.0689691771484335,1
"GO:0051726",1,215,111,17919,1,1
"GO:0000229",NA,NA,NA,NA,NA,NA
"GO:0000990",NA,NA,NA,NA,NA,NA
"GO:0000995",NA,NA,NA,NA,NA,NA
"GO:0001007",NA,NA,NA,NA,NA,NA
"GO:0001082",NA,NA,NA,NA,NA,NA
"GO:0001167",NA,NA,NA,NA,NA,NA
"GO:0001906",NA,NA,NA,NA,NA,NA
"GO:0002447",NA,NA,NA,NA,NA,NA
"GO:0002560",NA,NA,NA,NA,NA,NA
"GO:0003008",NA,NA,NA,NA,NA,NA
"GO:0004529",NA,NA,NA,NA,NA,NA
"GO:0004812",NA,NA,NA,NA,NA,NA
"GO:0005165",NA,NA,NA,NA,NA,NA
"GO:0005488",NA,NA,NA,NA,NA,NA
"GO:0006109",NA,NA,NA,NA,NA,NA
"GO:0006732",NA,NA,NA,NA,NA,NA
"GO:0006858",NA,NA,NA,NA,NA,NA
"GO:0009110",NA,NA,NA,NA,NA,NA
"GO:0009111",NA,NA,NA,NA,NA,NA
"GO:0009295",NA,NA,NA,NA,NA,NA
"GO:0009719",NA,NA,NA,NA,NA,NA
"GO:0015144",NA,NA,NA,NA,NA,NA
"GO:0015925",NA,NA,NA,NA,NA,NA
"GO:0016043",NA,NA,NA,NA,NA,NA
"GO:0016832",NA,NA,NA,NA,NA,NA
"GO:0019199",NA,NA,NA,NA,NA,NA
"GO:0019202",NA,NA,NA,NA,NA,NA
"GO:0019203",NA,NA,NA,NA,NA,NA
"GO:0019219",NA,NA,NA,NA,NA,NA
"GO:0019220",NA,NA,NA,NA,NA,NA
"GO:0019748",NA,NA,NA,NA,NA,NA
"GO:0019814",NA,NA,NA,NA,NA,NA
"GO:0022610",NA,NA,NA,NA,NA,NA
"GO:0030312",NA,NA,NA,NA,NA,NA
"GO:0030545",NA,NA,NA,NA,NA,NA
"GO:0032501",NA,NA,NA,NA,NA,NA
"GO:0032989",NA,NA,NA,NA,NA,NA
"GO:0042611",NA,NA,NA,NA,NA,NA
"GO:0043226",NA,NA,NA,NA,NA,NA
"GO:0043574",NA,NA,NA,NA,NA,NA
"GO:0043855",NA,NA,NA,NA,NA,NA
"GO:0044085",NA,NA,NA,NA,NA,NA
"GO:0044238",NA,NA,NA,NA,NA,NA
"GO:0044464",NA,NA,NA,NA,NA,NA
"GO:0044706",NA,NA,NA,NA,NA,NA
"GO:0044707",NA,NA,NA,NA,NA,NA
"GO:0045259",NA,NA,NA,NA,NA,NA
"GO:0050789",NA,NA,NA,NA,NA,NA
"GO:0051179",NA,NA,NA,NA,NA,NA
"GO:0051189",NA,NA,NA,NA,NA,NA
"GO:0065007",NA,NA,NA,NA,NA,NA
"GO:0065009",NA,NA,NA,NA,NA,NA
"GO:0070271",NA,NA,NA,NA,NA,NA
"GO:0071840",NA,NA,NA,NA,NA,NA
