"","GeneinGenome","GenenotinGO","GennomeinGO","GenomenotinGO","Fisher","FDR"
"GO:0006778",3,306,36,18586,0.0255308394605319,0.392475676584993
"GO:0008289",18,291,625,17997,0.0251631665420677,0.392475676584993
"GO:0016032",25,284,942,17680,0.0253966111637572,0.392475676584993
"GO:0016491",20,289,725,17897,0.0264590343765164,0.392475676584993
"GO:0043226",232,77,12881,5741,0.025228199905795,0.392475676584993
"GO:0006461",34,275,1387,17235,0.0285216513704157,0.400804258731631
"GO:0070271",34,275,1387,17235,0.0285216513704157,0.400804258731631
"GO:0022857",26,283,1010,17612,0.0307493109394828,0.421029026709842
"GO:0003723",37,272,1605,17017,0.0414798601002035,0.434318535166836
"GO:0005244",7,302,188,18434,0.0413431294238472,0.434318535166836
"GO:0005622",247,62,13930,4692,0.0402306017820734,0.434318535166836
"GO:0006812",24,285,944,17678,0.0372238856647202,0.434318535166836
"GO:0007166",56,253,2595,16027,0.0387407343781114,0.434318535166836
"GO:0007608",2,307,453,18169,0.0375264204291734,0.434318535166836
"GO:0008104",52,257,2379,16243,0.0393528161360212,0.434318535166836
"GO:0008283",43,266,1899,16723,0.0372733648412586,0.434318535166836
"GO:0008643",7,302,187,18435,0.0403974183953137,0.434318535166836
"GO:0030246",9,300,251,18371,0.0408995971253065,0.434318535166836
"GO:0032991",95,214,4726,13896,0.0350385405406988,0.434318535166836
"GO:0044085",60,249,2781,15841,0.0363124705378482,0.434318535166836
"GO:0005215",31,278,1296,17326,0.0424648251883843,0.436081089434562
"GO:0006869",10,299,313,18309,0.0447389724277042,0.450766250498001
"GO:0030054",32,277,1358,17264,0.0471178038793786,0.465942727251633
"GO:0004879",3,306,47,18575,0.0480979120492223,0.466987000623359
"GO:0043025",12,297,406,18216,0.050204824975578,0.478738866731405
"GO:0006796",63,246,3002,15620,0.0511325834737448,0.479031571490873
"GO:0007596",11,298,350,18272,0.0532060278644897,0.481559642027754
"GO:0007606",3,306,522,18100,0.0524680186499022,0.481559642027754
"GO:0008203",5,304,121,18501,0.0557669127057685,0.49632552308134
"GO:0001678",5,304,123,18499,0.0588867823502817,0.496530985720777
"GO:0005840",8,301,226,18396,0.0595093316219658,0.496530985720777
"GO:0007155",38,271,1683,16939,0.0571392800012181,0.496530985720777
"GO:0022610",38,271,1689,16933,0.0577484157119448,0.496530985720777
"GO:0051179",110,199,5684,12938,0.0616894886863828,0.506802876285052
"GO:0005249",4,305,89,18533,0.0658912215013332,0.517439886495764
"GO:0005768",20,289,791,17831,0.0640810812745033,0.517439886495764
"GO:0043005",23,286,938,17684,0.0658325669802165,0.517439886495764
