"","V1","V2"
"HILPDA",0.515103055265465,NA
"SLCO1B1",0.58073010655995,NA
"KIAA1524",0.0174188859182419,NA
"LRRC23",0.732554849695987,NA
"MPDU1",0.391073179503134,NA
"LRRC20",0.109280411747979,NA
"LOX",0.886585256602215,NA
"LPGAT1",0.0850611659236249,NA
"LRRC28",0.110985747779782,NA
"TIMM17B",0.996944990222564,NA
"NXN",0.166313750443265,NA
"ST13P4",0.503431905153527,NA
"GCNT1",0.00435038354021051,NA
"C14orf132",0.668042297624581,NA
"DIO2.AS1",0.615285866696995,NA
"LPCAT2",0.762284037528609,NA
"LPCAT3",0.970983734937189,NA
"LPCAT1",0.313475129322929,NA
"GNG12.AS1",0.548386617705506,NA
"ALOX5",0.788681814185989,NA
"MID1IP1",0.10106239169779,NA
"PIGA",0.913104500568881,NA
"PIGB",0.787575057360763,NA
"PIGC",0.570933886246524,NA
"PIGF",0.724644438525722,NA
"PIGG",0.53444276108703,NA
"PIGH",0.594575997071052,NA
"PIGK",0.841433787954419,NA
"PIGL",0.988544078973865,NA
"PIGM",0.18145620002135,NA
"PIGO",0.832460835346091,NA
"PIGP",0.324632139982951,NA
"PIGQ",0.265600387419628,NA
"PIGR",0.444947808937884,NA
"PIGS",0.238278714320749,NA
"PIGT",0.45239938927994,NA
"PIGU",0.0319417229197203,NA
"WRAP53",0.0384078217772114,NA
"PIGW",0.110557456631083,NA
"PIGY",0.120972874974341,NA
"PIGZ",0.0169718572264687,NA
"CCIN",0.278976935951442,NA
"TMEM72.AS1",0.295447509674617,NA
"RMND1",0.559927322420317,NA
"CCDC178",0.395849156102741,NA
"SNAPC3",0.420252841049454,NA
"TAX1BP3",0.126104854316525,NA
"RHPN1",0.175280822978644,NA
"ELAC2",0.0612933894253068,NA
"RHPN2",0.757910254049821,NA
"SRRM1",0.224839336539657,NA
"FAM134C",0.435873455988867,NA
"SRRM2",0.638357146107462,NA
"CCDC174",0.0133093936871135,NA
"CCDC176",0.162825129768493,NA
"C9orf116",0.439830289543047,NA
"PDK1",0.523168780225457,NA
"SUN2",0.39672675048156,NA
"PDK3",0.919940612873498,NA
"PDK2",0.936675019622308,NA
"EBP",0.872240178300078,NA
"PDK4",0.44039722938538,NA
"LNPEP",0.614612876383712,NA
"ALPI",0.195938533034651,NA
"SEC61A1",0.39160210904464,NA
"SEC61A2",0.272650417822662,NA
"ALPL",0.523480076704973,NA
"PTGS2",0.927543216688736,NA
"PECR",0.745560308469665,NA
"TM2D3",0.35116277994825,NA
"LOC284080",0.098110608804788,NA
"RAB9BP1",0.220121901434933,NA
"ZFAND6",0.016107909513118,NA
"PUF60",0.385807778425922,NA
"ZFAND4",0.86771863865383,NA
"ZFAND3",0.0556852341134974,NA
"ZFAND1",0.55670978842402,NA
"SLC39A12",0.851928243763485,NA
"CHST13",0.307538384407653,NA
"SLC39A11",0.72895562682839,NA
"MIR4515",0.639041190185104,NA
"SLC39A14",0.495527625598468,NA
"DNAJC17",0.113146883887021,NA
"INMT.FAM188B",0.459339915368487,NA
"EIF1AX",0.582698988592278,NA
"NTRK1",0.300781369687555,NA
"NTRK2",0.196601307774837,NA
"CNPY3",0.800494517842156,NA
